Group,Analytical_Thinking,Neutral_Score,Manipulative_Score,Age,Gender,Education,Political_Affiliation,Minority_Status,Bullshit_Receptivity,Conspiracy_Belief,Discernment_Score
Treatment,5.462605897026509,7.5274214022174135,2.598819735618949,20,Female,Bachelor's,Democrat,No,4.2536002728951265,2.1489053940395144,9.025556089368346
Control,4.421224076625304,9.343020805167342,-1.2159766985442397,29,Female,Bachelor's,Democrat,No,6.73389507591458,4.329284945150459,12.769609542024233
Control,6.713778231098231,8.378490954569873,0.026181802570552026,65,Male,Master's,Democrat,Yes,0.9166082957715198,2.8134645677185706,11.709198267548437
Treatment,4.809758115365407,4.053055085751023,-2.2039020782071908,42,Female,Bachelor's,Democrat,No,2.3833645276248836,7.4554446620138695,9.86427575048227
Treatment,6.244960488122261,3.8592432146465967,1.100905329671779,63,Other,Bachelor's,Democrat,No,4.436903803987127,4.178982342285369,7.442058251066514
Treatment,7.083494741970793,2.9742429025270845,0.35218034562464984,28,Male,High School,Other,No,1.0784584920767255,2.199696270121142,7.93468361338053
Treatment,4.797742794490308,6.250233893757298,3.143064672528306,29,Male,High School,Other,No,4.866821994696616,4.057163910859049,6.705476317096723
Treatment,5.904113141493477,9.315548838861279,3.0850042679688507,28,Male,High School,Republican,No,6.219364053592845,8.633904255667717,10.658629427012537
Control,3.145397941767606,4.6479589741154115,2.7398622881461945,34,Female,Bachelor's,Democrat,No,3.970511372408427,3.8466745343604685,3.48079565685302
Control,3.7895365922368542,7.716523336652537,1.7999473260276198,24,Female,Bachelor's,Independent,Yes,7.336521310459554,4.320013747587934,7.8113443067433455
Control,4.428892622466475,2.5020940855307083,2.1145996456914604,55,Female,Bachelor's,Republican,No,9.343782717633971,5.76873449541405,2.6019407510724855
Control,4.627391030389208,5.092983145086161,2.983238096849291,22,Male,Bachelor's,Democrat,No,4.436292992465969,3.4956717062813256,4.423440563431474
Control,5.210208336917317,1.1559055065179815,5.863606794033364,23,Male,Bachelor's,Republican,No,8.178791254998362,4.11447415938943,-2.102597119056724
Treatment,5.782415710481429,5.727559860598425,-1.2200327502275756,38,Male,Doctorate,Republican,No,3.5463921765107673,1.376623962226752,11.284404393687073
Treatment,5.740186739675826,3.909704927315224,3.449752673762548,54,Female,High School,Republican,No,7.654691315931457,2.9155819238887375,4.765092308309544
Control,3.5752646083156177,4.785213233089312,3.141489925531832,23,Female,Doctorate,Independent,No,3.3791912312803984,6.252092083400823,3.431355611715289
Treatment,4.448075994039498,1.6470516596306357,0.24892512868927064,60,Male,High School,Democrat,No,4.582053890326672,2.7341765741528423,4.734183526470988
Control,6.510766422415194,7.614649966632277,3.0715237894200977,37,Male,Bachelor's,Democrat,No,4.706807399811841,4.207742005763318,7.798509388419777
Control,3.1660669829170858,6.865619400918835,3.5118546069124177,67,Female,Master's,Democrat,No,6.170000838301106,4.990660636505878,4.93679828546496
Control,5.579936466463105,8.271668289049178,3.9677178459660736,69,Female,Doctorate,Democrat,Yes,0.5596113378944709,4.959411578420836,7.093918676314656
Treatment,4.478287383215921,2.1888911848472237,2.4666934514134122,49,Female,Doctorate,Republican,Yes,2.738524430343582,2.751156661569424,3.0809132708457523
Treatment,6.4333708901701865,5.784894357553095,0.17697795415907935,26,Female,High School,Democrat,No,3.544273227062874,3.2945250535406125,10.432944571021654
Control,5.0458453778350645,6.127697188706829,2.7310935333600024,26,Female,Master's,Democrat,No,3.2339931737594236,0.5125054083354241,5.919526344264359
Treatment,5.80876469609755,0.718041831687982,0.3855026873021654,64,Male,Master's,Other,No,1.445465140967504,5.4884646310013,4.689112666458979
Treatment,6.278417016828866,5.322947667954619,-1.0276165633579402,46,Male,Bachelor's,Other,No,5.12717361573684,1.0358471006867322,11.059376993934208
Control,6.75974598172637,3.1283725074961914,2.882132759685093,19,Male,Master's,Democrat,No,1.14071675187812,4.703391703079235,3.6261127386742835
Control,1.2707275958948863,8.15835538098006,2.8615423015200343,22,Female,Master's,Democrat,No,4.97690986758642,3.2232982905928997,5.9321768774074695
Control,4.332760060038659,7.546383207013686,1.2995850420213428,30,Female,Doctorate,Independent,No,1.8245260906798113,6.851136928571643,8.413178195011673
Control,5.829537819818193,7.166429321145923,3.8796099874599483,67,Male,Doctorate,Republican,No,1.9524785786165495,2.9259690439919153,6.201588243595071
Control,4.75359225781296,1.191931906289041,1.0782548608946267,34,Male,Master's,Republican,No,4.0785556726496255,0.889663830336672,2.4904731743008943
Treatment,9.840665148420152,3.1727709510966813,-2.4751238006241074,65,Male,Bachelor's,Other,Yes,5.515214098622607,2.070688546272282,13.028393613035902
Treatment,6.770881772359724,4.706514614404026,2.1843839555550137,66,Male,Bachelor's,Independent,No,7.82890121903212,3.71952132817392,7.600291988118805
Treatment,6.017035152106383,5.844364959170953,-0.13513678853756894,56,Male,High School,Democrat,Yes,3.833484654691632,2.7325834097448283,10.492278111788309
Control,5.8054107209345744,5.896992735340977,1.6641027241578963,66,Female,Bachelor's,Democrat,No,2.1050889208517045,2.436090469660412,7.135595371650368
Treatment,3.7818979167316282,2.6762788355548266,1.8899716535470643,40,Female,Bachelor's,Democrat,No,3.4469589307462183,4.532861430367035,3.6227306195564832
Treatment,6.208049415965755,4.1783015036325715,0.9507628625061108,54,Male,Bachelor's,Independent,No,1.4997943637558828,2.9269046222540154,7.883575703100778
Control,4.3566292072957005,4.984862362956358,3.7589409477929716,63,Female,Doctorate,Republican,Yes,5.880492378829668,4.3106801377761705,3.4042360188112366
Control,6.229784850642003,4.378649534756461,6.296911237454306,54,Male,Bachelor's,Other,No,2.2755114204569704,2.805981704334293,1.1966307226231563
Treatment,4.649247357929781,4.90288940048869,-0.5459235877175208,61,Male,Bachelor's,Democrat,No,0.17832436702362475,2.5341536282532253,8.935748506653546
Control,4.649041579492941,11.475501378520022,4.993581363132108,63,Male,Master's,Independent,No,3.105510901062095,7.621604905251561,8.806440805134384
Control,6.367826682468667,7.213953246700947,4.690396843051983,41,Female,Bachelor's,Republican,No,2.48619882915498,0.9718759064833598,5.707469744883298
Treatment,5.202310058102968,5.603046854693546,2.666556452153579,37,Male,Doctorate,Independent,No,6.4343739948337735,2.0244618106313848,6.8382229461171935
Control,2.5298946016299593,8.133149464460399,2.3618947061043034,29,Female,Bachelor's,Democrat,Yes,4.912870747518074,4.505609398421839,7.0362020591710746
Control,6.510601686609938,1.738846116742676,0.6802080724003927,20,Female,High School,Democrat,Yes,1.8520423318376542,1.322272435425368,4.313938887647252
Treatment,4.802968334009191,5.080058686612139,3.573135961467295,67,Male,High School,Independent,No,5.266529739608339,2.2526635660157557,5.109148975651737
Control,1.6272654194268075,5.167885365295097,2.672544157048609,47,Male,Bachelor's,Democrat,No,2.6466140944464027,2.590248580895975,3.308973917959892
Control,7.427251507769876,2.878975129554445,3.2450750651403015,63,Male,High School,Democrat,Yes,2.7295531517175484,6.169135585575601,3.3475258182990815
Control,5.612789255461425,4.879283498309526,3.8477729711028683,34,Male,Master's,Republican,No,2.606892988482956,5.90719982079206,3.83790515493737
Treatment,8.450971939764182,2.708710636457487,-4.035689239663579,32,Male,Master's,Democrat,No,5.354857303740302,4.567486802752864,13.082628830944204
Control,3.873402033353226,7.523304164185263,0.7741752506810982,34,Female,High School,Independent,Yes,3.61786026226547,0,8.685829930180779
Treatment,7.4310530653909606,3.187787649497035,-0.16458966951167475,20,Male,Master's,Democrat,No,5.839343439988314,2.461968330606641,8.92566711805193
Treatment,6.0310217659718335,7.780105176294872,-0.6756994438260948,53,Male,Master's,Independent,No,0.8445273036139258,5.1937089841936555,12.979070944599842
Control,5.5795770900390025,6.0784592511343005,4.029023255259168,27,Female,High School,Republican,No,2.692444788867652,9.066751928613261,4.839224540894634
Treatment,5.239186039114194,6.8866057298750425,0.5016920750004077,68,Female,High School,Independent,Yes,1.7860418353817216,4.609145730426684,10.31430318421028
Treatment,3.606549478632834,5.40032003759302,0.8302682888162318,51,Female,Master's,Republican,No,7.7492431058806,4.690148946739496,7.274963857751414
Treatment,5.376584942046631,1.5885143846976244,1.6317749252312403,42,Female,High School,Independent,Yes,4.539407419018471,3.5178736028891775,3.9891781660013574
Control,4.763331085951435,9.52732910073161,1.4875095388257475,43,Male,Master's,Democrat,No,5.413262717212169,0,10.42148510488158
Treatment,5.426193572273391,4.419479708686485,-0.2632043544682059,66,Male,Bachelor's,Republican,No,5.629409835403887,5.488623253935678,8.752329242359735
Control,4.959304455355005,3.9501466356918282,2.8831397305395514,37,Female,High School,Independent,No,5.028187920536552,4.477557793271148,3.546659132829779
Control,4.4860527086764685,5.422061346613353,3.6092970108408733,48,Male,High School,Republican,No,6.433274568935832,3.692433321422022,4.055790690110714
Treatment,4.615457381367521,4.784526708890132,-1.9826025857191236,56,Female,High School,Democrat,Yes,3.32414241199983,3.9746358092123537,10.228722330634897
Control,5.934695036804186,6.5261501549417495,6.017194854101353,49,Male,Bachelor's,Independent,Yes,3.7102440497278475,5.565761620233712,3.4763028192424894
Treatment,4.79609391693342,3.315915400350744,3.427768025813726,25,Male,Bachelor's,Democrat,No,4.313735205821137,4.524103510355354,3.485217812237083
Control,6.342496211561996,0.7306423772407094,4.274006795149701,30,Female,High School,Democrat,Yes,6.9312775131962,6.056788432750103,-0.37211631212799334
Treatment,6.436608933780809,8.233916138667801,-2.5154620329765818,37,Female,Master's,Democrat,No,4.481283789130587,0.08008136005570288,15.57683487197999
Control,3.8973321524787745,6.735073802423178,2.6366618254538134,22,Male,Bachelor's,Democrat,No,5.303465441466374,3.1936280080409993,6.047078053208752
Control,5.602322535044788,4.736847083401525,6.23831439379187,23,Female,Bachelor's,Democrat,No,3.65454218930291,6.255096807012921,1.2996939571320487
Control,5.300901426205157,4.676286288469606,3.864451920206742,41,Female,High School,Independent,No,5.822972874609487,3.562236579850863,3.462285081365442
Treatment,5.1081753502228695,7.247466902646533,4.619605529681189,28,Male,High School,Republican,No,5.876505781010993,7.905076088945696,6.4589928856324965
